Link,Pilseta,Zemes Tips,Zemes Numurs,Datums,Datu iev.,Cena EUR,Cena m2,Platiba Daudzums,Platiba Mervieniba,Adrese
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/lielupe/jkkkc.html,Jūrmala,Zeme privātmājas būvēšanai,NA,['Datums: 23.11.2022 09:32'],11/28/2022,2000000,684.93,2920,m²,E. Birznieka-Upīša 8 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/rezekne-and-reg/kantinieku-pag/lddhg.html,Rēzekne un raj.,Lauksaimniecības zeme,78600010031,['Datums: 08.11.2022 16:02'],11/28/2022,1165000,0.5,233,ha.,Āres 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/priedaine/gkdde.html,Jūrmala,Zeme privātmājas būvēšanai,13000050210,['Datums: 22.11.2022 13:09'],11/28/2022,950000,132.05,7194,m²,Salaspils 1 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/madona-and-reg/praulienas-pag/jdefn.html,Madona un raj.,Lauksaimniecības zeme,NA,['Datums: 24.11.2022 16:53'],11/28/2022,890000,0.59,151,ha.,Pie Aiviekstes upes 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/asari/fgpbx.html,Jūrmala,Zeme privātmājas būvēšanai,1300 016 4501,['Datums: 25.11.2022 12:26'],11/28/2022,664500,60,11075,m²,Dāvja iela 22 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/other/glxkc.html,Cits,Cits,NA,['Datums: 07.11.2022 09:44'],11/28/2022,540000,6.75,8,ha.,Ādažu nov. 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valmiera-and-reg/kocenu-pag/cinix.html,Valmiera un raj.,Komerciāla apbūve,96640080449,['Datums: 10.11.2022 15:18'],11/28/2022,500000,21.1,23700,m²,Brandeļi 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/lielupe/olfok.html,Jūrmala,Zeme privātmājas būvēšanai,NA,['Datums: 28.11.2022 11:52'],11/28/2022,495000,152.64,3243,m²,Lašu iela 19a 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/madona-and-reg/madona/embfn.html,Madona un raj.,Lauksaimniecības zeme,70700020116,['Datums: 31.10.2022 17:02'],11/28/2022,480000,0.6,80,ha.,Ogas 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kuldiga-and-reg/kuldiga/exefl.html,Kuldīga un raj.,Komerciāla apbūve,NA,['Datums: 24.11.2022 16:43'],11/28/2022,477700,50,9554,m²,Mērnieku iela 2 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/tukums-and-reg/engures-pag/ehlmj.html,Tukums un raj.,Zemes gabals ciemata,90500080286,['Datums: 13.11.2022 19:34'],11/28/2022,465555,4.23,11,ha.,Madaras 1 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/sloka/fhjpo.html,Jūrmala,Komerciāla apbūve,NA,['Datums: 24.11.2022 08:37'],11/28/2022,378820,20,18941,m²,Ventspils šoseja 65 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valka-and-reg/ergemes-pag/dlgjk.html,Valka un raj.,Lauksaimniecības zeme,94520110156,['Datums: 09.11.2022 14:03'],11/28/2022,354000,0.26,136,ha.,Buciņi un Saulgoži 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/lielupe/clejl.html,Jūrmala,Zeme privātmājas būvēšanai,NA,['Datums: 25.11.2022 13:44'],11/28/2022,350000,210.84,1660,m²,Kuršu iela 4 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/gulbene-and-reg/ligo-pag/exeni.html,Gulbene un raj.,Lauksaimniecības zeme,NA,['Datums: 11.10.2022 18:09'],11/28/2022,338000,0.34,99,ha.,Upsalas 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/bauska-and-reg/iecavas-nov/acife.html,Bauska un raj.,Komerciāla apbūve,40640080069,['Datums: 08.11.2022 12:23'],11/28/2022,324000,2.7,12,ha.,Iecavas stacija 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/ogre-and-reg/ikskile/fhdhb.html,Ogre un raj.,Zeme privātmājas būvēšanai,74940110046,['Datums: 27.11.2022 13:19'],11/28/2022,315000,7.88,4,ha.,Līvciema 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/bulduri/hpged.html,Jūrmala,Zeme privātmājas būvēšanai,NA,['Datums: 23.11.2022 15:10'],11/28/2022,310000,166.94,1857,m²,Kuldīgas iela 2b 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/bulduri/behbp.html,Jūrmala,Daudzstāvu būve,13000075203,['Datums: 25.11.2022 11:19'],11/28/2022,300000,280.37,1070,m²,Баускас 3 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/cesis-and-reg/cesis/bgkklc.html,Cēsis un raj.,Daudzstāvu būve,NA,['Datums: 25.11.2022 07:13'],11/28/2022,300000,35.29,8500,m²,Briezu iela 18 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/cesis-and-reg/cesis/femix.html,Cēsis un raj.,Komerciāla apbūve,NA,['Datums: 24.11.2022 10:53'],11/28/2022,300000,30.73,9763,m²,Piebalgas 10a 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/limbadzi-and-reg/salacgrivas-l-t/fpgpd.html,Limbaži un raj.,Lauksaimniecības zeme,NA,['Datums: 25.11.2022 09:45'],11/28/2022,300000,2,15,ha.,Jaunbērzi 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/limbadzi-and-reg/liepupes-pag/fgmhg.html,Limbaži un raj.,Cits,66600030015,['Datums: 21.10.2022 09:35'],11/28/2022,300000,1.03,29,ha.,Krimalnieki 1 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/ludza-and-reg/zalesjes-pag/npihn.html,Ludza un raj.,Komerciāla apbūve,68960070149,['Datums: 07.11.2022 12:15'],11/28/2022,300000,3.75,8,ha.,Klusumiņš 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/madona-and-reg/liezeres-pag/ekkcm.html,Madona un raj.,Fermeru saimniecības,70680020014,['Datums: 05.11.2022 10:00'],11/28/2022,296940,0.59,50,ha.,Krastablukas 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/talsi-and-reg/libagu-pag/eejfj.html,Talsi un raj.,Komerciāla apbūve,88720160008,['Datums: 27.11.2022 10:06'],11/28/2022,276548,2.3,12,ha.,Burtnieki 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/rezekne-and-reg/rezekne/alhno.html,Rēzekne un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 07.11.2022 09:44'],11/28/2022,275000,11.32,24284,m²,Rāzna 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/madona-and-reg/indranu-pag/cxxexj.html,Madona un raj.,Lauksaimniecības zeme,NA,['Datums: 22.11.2022 22:20'],11/28/2022,270000,0.4,68,ha.,Gulbiši 
